"","id","fiyat","oda_salon_sayisi","net_m2","bina_yasi","isinma_tipi","krediye_uygunluk","bulundugu_kat","banyo_sayisi","ilce","nüfus","eðitim","okuma_yazma_bilmeyen"
"1794",1794,695000,5,160,30,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"2878",2878,444000,4,110,25,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"1745",1745,490000,4,130,25,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4353",4353,450000,4,112,3,"Merkezi(PayÖlçer)","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"4263",4263,285000,4,115,0,"Kombi","Uygun","1. Kat","2","Sincan",549108,"Lise",1.44
"2950",2950,359000,4,135,2,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"4039",4039,675000,4,140,12,"Kombi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"4033",4033,398000,3,90,30,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"505",505,429000,4,120,25,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"4388",4388,875000,4,135,5,"Kombi","Uygun","5. Kat","2","Çankaya",925828,"Lisans",0.7
"4742",4742,685000,4,144,36,"Merkezi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"361",361,440000,4,138,14,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4303",4303,265000,4,110,22,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"1084",1084,345000,3,70,40,"Kombi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"3923",3923,385000,4,125,1,"Kombi","Uygun","2. Kat","2","Sincan",549108,"Lise",1.44
"3461",3461,280000,3,85,30,"Kombi","Uygun","Giriþ Katý","1","Çankaya",925828,"Lisans",0.7
"3558",3558,650000,5,139,0,"Merkezi(PayÖlçer)","Uygun deðil","1. Kat","2","Sincan",549108,"Lise",1.44
"4113",4113,395000,4,95,35,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4840",4840,950000,4,100,0,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"3013",3013,294000,4,100,20,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"623",623,535000,3,66,0,"Merkezi(PayÖlçer)","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"963",963,760000,5,160,3,"Kombi","Uygun","13. Kat","2","Çankaya",925828,"Lisans",0.7
"3886",3886,275000,4,118,25,"Kombi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"1392",1392,1500000,5,151,11,"Kombi","Uygun","12. Kat","2","Çankaya",925828,"Lisans",0.7
"4174",4174,425000,3,110,31,"Kombi","Uygun","Bahçe Katý","1","Keçiören",938565,"Lise",1.43
"2765",2765,479000,4,125,23,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"169",169,415000,4,136,3,"Kombi","Uygun","1. Kat","2","Sincan",549108,"Lise",1.44
"88",88,365000,3,95,1,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"2065",2065,289000,3,100,27,"Kombi","Uygun","Kot 2","2","Keçiören",938565,"Lise",1.43
"4092",4092,365000,3,100,19,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"1164",1164,335000,4,100,40,"Merkezi","Uygun","Bahçe Katý","1","Çankaya",925828,"Lisans",0.7
"3504",3504,460000,4,125,15,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"3202",3202,350000,3,72,0,"Kombi","Uygun","1. Kat","1","Sincan",549108,"Lise",1.44
"4527",4527,780000,5,168,1,"Kombi","Uygun","5. Kat","3","Keçiören",938565,"Lise",1.43
"4440",4440,524000,4,130,25,"Merkezi","Uygun","8. Kat","1","Çankaya",925828,"Lisans",0.7
"4674",4674,440000,4,124,36,"Merkezi","Uygun","Giriþ Katý","1","Çankaya",925828,"Lisans",0.7
"280",280,739000,5,135,31,"Merkezi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"4340",4340,589000,4,145,13,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"1049",1049,495000,3,100,35,"Merkezi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"2793",2793,495000,3,100,35,"Merkezi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"3687",3687,455000,4,120,22,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"3138",3138,419000,4,120,20,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"4725",4725,220000,3,90,20,"Kombi","Uygun","Zemin","1","Keçiören",938565,"Lise",1.43
"3291",3291,325000,6,230,5,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"1630",1630,630000,3,85,2,"Kombi","Uygun","Bahçe Katý","1","Keçiören",938565,"Lise",1.43
"1376",1376,155000,3,85,20,"Kombi","Uygun","1. Kat","1","Sincan",549108,"Lise",1.44
"1254",1254,465000,4,140,18,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"2712",2712,459000,5,160,6,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"4820",4820,239000,4,110,25,"Kombi","Uygun","4. Kat","1","Sincan",549108,"Lise",1.44
"1265",1265,459000,4,115,25,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"3055",3055,415000,4,135,1,"Kombi","Uygun","1. Kat","1","Sincan",549108,"Lise",1.44
"693",693,319000,4,125,5,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"2305",2305,142000,3,90,20,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"4810",4810,1430000,5,178,1,"Merkezi(PayÖlçer)","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"3777",3777,995000,5,165,0,"Merkezi(PayÖlçer)","Uygun","8. Kat","2","Keçiören",938565,"Lise",1.43
"1465",1465,195000,3,80,25,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"355",355,260000,4,100,25,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"2798",2798,265000,4,120,20,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"2657",2657,1695000,6,420,2,"Merkezi(PayÖlçer)","Uygun","21 ve üzeri","4","Keçiören",938565,"Lise",1.43
"4788",4788,339500,4,110,0,"Merkezi","Uygun","8. Kat","2","Mamak",669465,"Lise",1.9
"3208",3208,385000,4,120,18,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"1352",1352,324000,4,120,25,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"3100",3100,865000,5,200,21,"Kombi","Uygun","En Üst Kat","2","Keçiören",938565,"Lise",1.43
"2997",2997,415000,3,115,35,"Kombi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"487",487,95000,3,70,27,"Kombi","Uygun","Bahçe Katý","1","Sincan",549108,"Lise",1.44
"378",378,480000,3,92,2,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"1251",1251,479000,4,120,20,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"273",273,685000,4,135,35,"Merkezi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"4924",4924,525000,4,120,14,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"1730",1730,810000,4,130,0,"Kombi","Uygun","Ara Kat","2","Keçiören",938565,"Lise",1.43
"2805",2805,515000,3,95,16,"Merkezi","Uygun","8. Kat","1","Keçiören",938565,"Lise",1.43
"4921",4921,645000,4,115,35,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"2421",2421,479000,4,130,22,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"776",776,189000,4,110,20,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"1029",1029,739000,4,160,0,"Kombi","Uygun","En Üst Kat","2","Keçiören",938565,"Lise",1.43
"2009",2009,395000,4,95,35,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"4692",4692,995000,4,145,0,"Kombi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"2718",2718,750000,4,125,0,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"3946",3946,980000,5,219,0,"Merkezi(PayÖlçer)","Uygun deðil","14. Kat","2","Çankaya",925828,"Lisans",0.7
"236",236,475000,4,100,25,"Kombi","Uygun","Bahçe Katý","1","Çankaya",925828,"Lisans",0.7
"3847",3847,1500000,5,160,10,"Merkezi(PayÖlçer)","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"2247",2247,515000,4,115,25,"Merkezi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"3195",3195,585000,4,135,25,"Merkezi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"2343",2343,850000,6,200,20,"Kombi","Uygun","4. Kat","2","Çankaya",925828,"Lisans",0.7
"1917",1917,1100000,6,300,12,"Kombi","Uygun","4. Kat","2","Çankaya",925828,"Lisans",0.7
"3945",3945,435000,4,120,25,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"3232",3232,595000,3,100,4,"Kombi","Uygun","En Üst Kat","1","Çankaya",925828,"Lisans",0.7
"2931",2931,470000,4,155,20,"Kombi","Uygun","Yüksek Giriþ","2","Çankaya",925828,"Lisans",0.7
"3731",3731,685000,5,185,2,"Merkezi(PayÖlçer)","Uygun","7. Kat","2","Keçiören",938565,"Lise",1.43
"794",794,520000,4,120,30,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"3618",3618,485000,4,125,13,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"75",75,1100000,3,115,0,"Merkezi(PayÖlçer)","Uygun","Teras Katý","2","Çankaya",925828,"Lisans",0.7
"3180",3180,299000,4,125,3,"Kombi","Uygun","2. Kat","1","Mamak",669465,"Lise",1.9
"4322",4322,595000,4,120,40,"Merkezi","Uygun","4. Kat","1","Keçiören",938565,"Lise",1.43
"1393",1393,375000,4,120,1,"Kombi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"3441",3441,850000,3,85,0,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"882",882,385000,4,120,28,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"3109",3109,488000,5,150,19,"Kombi","Uygun","1. Kat","2","Keçiören",938565,"Lise",1.43
"3556",3556,650000,4,150,22,"Merkezi","Uygun","Teras Katý","3","Çankaya",925828,"Lisans",0.7
"528",528,370000,3,85,40,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"619",619,349000,4,125,8,"Kombi","Uygun","Ara Kat","1","Sincan",549108,"Lise",1.44
"4837",4837,425000,4,115,25,"Kombi","Uygun","En Üst Kat","1","Keçiören",938565,"Lise",1.43
"3898",3898,6e+05,4,156,12,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"2791",2791,695000,7,300,25,"Kombi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"177",177,419000,4,110,25,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"844",844,845000,5,175,12,"Kombi","Uygun","10. Kat","2","Çankaya",925828,"Lisans",0.7
"2561",2561,285000,4,105,0,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"4479",4479,515000,4,110,35,"Merkezi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"2368",2368,338000,4,115,22,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"2433",2433,4250000,6,310,8,"Merkezi(PayÖlçer)","Uygun","21 ve üzeri","2","Keçiören",938565,"Lise",1.43
"2618",2618,650000,4,115,30,"Kombi","Uygun","Kot 2","1","Keçiören",938565,"Lise",1.43
"1395",1395,950000,5,125,0,"Merkezi","Uygun","7. Kat","2","Keçiören",938565,"Lise",1.43
"1295",1295,350000,4,120,0,"Kombi","Uygun","Yüksek Giriþ","1","Sincan",549108,"Lise",1.44
"1137",1137,589000,4,130,22,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"1012",1012,1400000,5,185,0,"Kombi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"1233",1233,950000,3,98,0,"Merkezi","Uygun","4. Kat","1","Keçiören",938565,"Lise",1.43
"20",20,625000,6,190,12,"Kombi","Uygun","4. Kat","3","Çankaya",925828,"Lisans",0.7
"2486",2486,985000,4,100,0,"Kombi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"2076",2076,440000,2,46,8,"Merkezi","Uygun","Giriþ Katý","1","Çankaya",925828,"Lisans",0.7
"2794",2794,450000,6,260,18,"Kombi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"2850",2850,387500,3,90,35,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"2990",2990,539000,4,120,22,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"997",997,640000,5,160,0,"Merkezi(PayÖlçer)","Uygun","2. Kat","2","Sincan",549108,"Lise",1.44
"4136",4136,185000,3,55,35,"Merkezi","Uygun","7. Kat","1","Çankaya",925828,"Lisans",0.7
"2600",2600,450000,4,140,12,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"1436",1436,360000,4,115,14,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"4454",4454,1250000,5,180,0,"Kombi","Uygun","3. Kat","3","Keçiören",938565,"Lise",1.43
"479",479,875000,5,165,12,"Kombi","Uygun","4. Kat","2","Çankaya",925828,"Lisans",0.7
"4271",4271,444000,4,110,25,"Kombi","Uygun","1. Kat","2","Keçiören",938565,"Lise",1.43
"3178",3178,135000,3,80,13,"Kombi","Uygun","Bahçe Katý","1","Sincan",549108,"Lise",1.44
"3411",3411,255000,4,110,18,"Kombi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"3318",3318,2100000,5,196,2,"Merkezi(PayÖlçer)","Uygun","15. Kat","2","Keçiören",938565,"Lise",1.43
"4088",4088,495000,4,100,16,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"1590",1590,445000,4,125,31,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4898",4898,4250000,5,280,30,"Merkezi","Uygun","4. Kat","4","Keçiören",938565,"Lise",1.43
"4310",4310,369000,4,115,4,"Kombi","Uygun","2. Kat","2","Keçiören",938565,"Lise",1.43
"3883",3883,243000,4,115,20,"Kombi","Uygun","3. Kat","1","Sincan",549108,"Lise",1.44
"3514",3514,765000,5,130,35,"Merkezi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"1340",1340,349000,4,125,10,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"2779",2779,410000,4,140,3,"Kombi","Uygun","Yüksek Giriþ","2","Keçiören",938565,"Lise",1.43
"895",895,385000,4,135,15,"Kombi","Uygun","Yüksek Giriþ","2","Çankaya",925828,"Lisans",0.7
"213",213,535000,4,110,40,"Merkezi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"3520",3520,299000,4,115,7,"Kombi","Uygun","4. Kat","1","Sincan",549108,"Lise",1.44
"441",441,449000,4,105,26,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"1838",1838,590000,4,80,0,"Kombi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"3602",3602,209000,3,120,20,"Kombi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"1015",1015,535000,6,280,14,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"375",375,259000,3,100,22,"Kombi","Uygun","Kot 1","2","Keçiören",938565,"Lise",1.43
"2204",2204,395000,4,110,50,"Merkezi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"2880",2880,335000,4,85,45,"Kombi","Uygun","Zemin","1","Çankaya",925828,"Lisans",0.7
"3218",3218,279000,4,135,22,"Kombi","Uygun","Bahçe Katý","1","Keçiören",938565,"Lise",1.43
"4343",4343,320000,3,101,40,"Merkezi","Uygun","Teras Katý","1","Çankaya",925828,"Lisans",0.7
"986",986,210000,4,115,7,"Kombi","Uygun","Giriþ Katý","1","Sincan",549108,"Lise",1.44
"4933",4933,1250000,7,280,12,"Merkezi(PayÖlçer)","Uygun","3. Kat","3","Çankaya",925828,"Lisans",0.7
"3743",3743,340000,3,80,40,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"720",720,540000,4,130,45,"Merkezi","Uygun","4. Kat","1","Keçiören",938565,"Lise",1.43
"1359",1359,1375000,6,240,15,"Kombi","Uygun","8. Kat","3","Çankaya",925828,"Lisans",0.7
"3572",3572,380000,3,82,10,"Kombi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"1837",1837,1450000,6,260,12,"Kombi","Uygun","8. Kat","3","Keçiören",938565,"Lise",1.43
"964",964,750000,4,135,0,"Kombi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"265",265,485000,3,95,0,"Kombi","Uygun","4. Kat","1","Çankaya",925828,"Lisans",0.7
"78",78,475000,4,115,25,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"4677",4677,369000,4,120,4,"Kombi","Uygun","2. Kat","2","Çankaya",925828,"Lisans",0.7
"1207",1207,970000,4,110,0,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"3139",3139,8e+05,3,105,0,"Merkezi(PayÖlçer)","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"4379",4379,950000,7,350,10,"Kombi","Uygun","4. Kat","3","Keçiören",938565,"Lise",1.43
"4338",4338,2550000,6,225,0,"Merkezi(PayÖlçer)","Uygun","2. Kat","4","Çankaya",925828,"Lisans",0.7
"2943",2943,535000,5,135,28,"Merkezi","Uygun","Yüksek Giriþ","1","Keçiören",938565,"Lise",1.43
"3149",3149,529000,6,200,13,"Kombi","Uygun deðil","3. Kat","2","Çankaya",925828,"Lisans",0.7
"313",313,275000,4,120,16,"Kombi","Uygun","Bahçe Katý","1","Çankaya",925828,"Lisans",0.7
"2428",2428,7e+05,4,90,0,"Kombi","Uygun","Yüksek Giriþ","2","Çankaya",925828,"Lisans",0.7
"4411",4411,1e+06,4,145,0,"Kombi","Uygun","Teras Katý","2","Çankaya",925828,"Lisans",0.7
"3598",3598,210000,4,80,30,"Kombi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"2513",2513,280000,4,120,19,"Kombi","Uygun","Kot 1","1","Keçiören",938565,"Lise",1.43
"1753",1753,995000,4,135,0,"Kombi","Uygun","3. Kat","2","Keçiören",938565,"Lise",1.43
"3412",3412,349000,4,120,27,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"2873",2873,625000,4,140,19,"Merkezi","Uygun","7. Kat","2","Çankaya",925828,"Lisans",0.7
"3704",3704,9e+05,5,149,17,"Merkezi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"2991",2991,260000,4,125,12,"Kombi","Uygun","1. Kat","1","Mamak",669465,"Lise",1.9
"3874",3874,530000,4,125,18,"Merkezi","Uygun","7. Kat","1","Çankaya",925828,"Lisans",0.7
"4828",4828,272000,4,120,11,"Kombi","Uygun","3. Kat","1","Mamak",669465,"Lise",1.9
"420",420,344000,4,118,25,"Kombi","Uygun","En Üst Kat","1","Çankaya",925828,"Lisans",0.7
"1141",1141,218000,2,55,10,"Merkezi(PayÖlçer)","Uygun","Kot 2","1","Keçiören",938565,"Lise",1.43
"1998",1998,640000,5,140,25,"Kombi","Uygun","1. Kat","2","Keçiören",938565,"Lise",1.43
"3409",3409,550000,5,150,0,"Kombi","Uygun","Kot 2","2","Keçiören",938565,"Lise",1.43
"2695",2695,520000,4,130,10,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"1835",1835,210000,3,90,18,"Kombi","Uygun","Kot 1","1","Çankaya",925828,"Lisans",0.7
"334",334,520000,4,100,30,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"2980",2980,389000,4,125,0,"Merkezi(PayÖlçer)","Uygun deðil","4. Kat","2","Sincan",549108,"Lise",1.44
"1866",1866,7e+05,8,278,14,"Kombi","Uygun","4. Kat","4","Keçiören",938565,"Lise",1.43
"1407",1407,5e+05,4,100,20,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"4731",4731,450000,4,115,41,"Merkezi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"4471",4471,625000,3,95,19,"Merkezi","Uygun","4. Kat","1","Çankaya",925828,"Lisans",0.7
"2722",2722,779000,5,165,15,"Merkezi","Uygun","5. Kat","2","Çankaya",925828,"Lisans",0.7
"3439",3439,950000,4,135,13,"Merkezi","Uygun","2. Kat","2","Çankaya",925828,"Lisans",0.7
"3605",3605,360000,4,85,40,"Kombi","Uygun","Bahçe Katý","1","Çankaya",925828,"Lisans",0.7
"4598",4598,260000,4,110,20,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"2331",2331,226000,4,110,30,"Kombi","Uygun","4. Kat","1","Sincan",549108,"Lise",1.44
"4562",4562,775000,4,130,30,"Merkezi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"3980",3980,1100000,4,120,0,"Kombi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"232",232,369000,4,105,20,"Kombi","Uygun","Bahçe Katý","1","Keçiören",938565,"Lise",1.43
"4445",4445,645000,3,110,25,"Merkezi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"1740",1740,625000,6,220,2,"Kombi","Uygun","2. Kat","2","Mamak",669465,"Lise",1.9
"214",214,425000,3,110,31,"Kombi","Uygun","Bahçe Katý","1","Çankaya",925828,"Lisans",0.7
"1069",1069,459000,3,110,25,"Kombi","Uygun","3. Kat","1","Keçiören",938565,"Lise",1.43
"1142",1142,850000,7,220,16,"Merkezi","Uygun","4. Kat","3","Keçiören",938565,"Lise",1.43
"2173",2173,248000,4,120,7,"Kombi","Uygun","Kot 1","2","Çankaya",925828,"Lisans",0.7
"3650",3650,650000,4,100,35,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"3285",3285,415000,4,130,15,"Kombi","Uygun","2. Kat","2","Keçiören",938565,"Lise",1.43
"3395",3395,5e+05,4,130,1,"Kombi","Uygun","Bahçe Katý","1","Çankaya",925828,"Lisans",0.7
"2238",2238,445000,4,120,8,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"2827",2827,355000,4,105,29,"Merkezi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"1389",1389,324000,2,115,24,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"3985",3985,459000,3,110,22,"Kombi","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"3234",3234,1e+06,4,130,0,"Kombi","Uygun","Çatý Katý","2","Çankaya",925828,"Lisans",0.7
"4594",4594,630000,4,125,25,"Merkezi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"2781",2781,225000,4,110,20,"Kombi","Uygun","4. Kat","1","Sincan",549108,"Lise",1.44
"2493",2493,2e+05,4,120,25,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"3341",3341,1240000,5,180,10,"Kombi","Uygun","1. Kat","2","Keçiören",938565,"Lise",1.43
"1089",1089,985000,4,115,0,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"114",114,495000,4,135,13,"Kombi","Uygun","2. Kat","2","Keçiören",938565,"Lise",1.43
"283",283,675000,5,200,6,"Kombi","Uygun","4. Kat","2","Keçiören",938565,"Lise",1.43
"1026",1026,895000,4,90,2,"Merkezi(PayÖlçer)","Uygun","3. Kat","1","Çankaya",925828,"Lisans",0.7
"2327",2327,348000,3,90,18,"Kombi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"3269",3269,650000,4,122,3,"Merkezi(PayÖlçer)","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"422",422,455000,4,110,28,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"922",922,219000,3,98,25,"Kombi","Uygun","Kot 3","1","Keçiören",938565,"Lise",1.43
"1187",1187,290000,3,85,25,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"841",841,445000,4,115,14,"Kombi","Uygun","Yüksek Giriþ","1","Çankaya",925828,"Lisans",0.7
"2876",2876,1350000,5,205,1,"Merkezi","Uygun","8. Kat","2","Keçiören",938565,"Lise",1.43
"3523",3523,640000,5,160,18,"Kombi","Uygun","1. Kat","2","Çankaya",925828,"Lisans",0.7
"881",881,580000,4,135,5,"Merkezi(PayÖlçer)","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"16",16,790000,3,100,0,"Merkezi(PayÖlçer)","Uygun","Bahçe Katý","2","Keçiören",938565,"Lise",1.43
"1633",1633,280000,2,40,0,"Kombi","Uygun","Giriþ Katý","1","Çankaya",925828,"Lisans",0.7
"2367",2367,375000,4,110,40,"Kombi","Uygun","Kot 2","1","Keçiören",938565,"Lise",1.43
"4323",4323,1400000,5,180,0,"Merkezi(PayÖlçer)","Uygun deðil","10. Kat","2","Keçiören",938565,"Lise",1.43
"4784",4784,185000,4,100,30,"Kombi","Uygun","5. Kat","1","Sincan",549108,"Lise",1.44
"1388",1388,470000,4,122,12,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"4277",4277,780000,7,270,6,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"4320",4320,4670000,4,195,6,"Merkezi","Uygun","21 ve üzeri","1","Çankaya",925828,"Lisans",0.7
"876",876,529000,4,120,23,"Kombi","Uygun","2. Kat","2","Çankaya",925828,"Lisans",0.7
"1792",1792,1250000,7,320,16,"Kombi","Uygun","Teras Katý","3","Keçiören",938565,"Lise",1.43
"122",122,245000,4,110,15,"Kombi","Uygun","Giriþ Katý","1","Keçiören",938565,"Lise",1.43
"2875",2875,575000,6,170,25,"Kombi","Uygun","3. Kat","2","Çankaya",925828,"Lisans",0.7
"3279",3279,385000,4,110,25,"Kombi","Uygun","2. Kat","1","Keçiören",938565,"Lise",1.43
"1868",1868,825000,2,50,0,"Merkezi","Uygun","4. Kat","1","Çankaya",925828,"Lisans",0.7
"2112",2112,345000,3,75,0,"Kombi","Uygun","Giriþ Katý","1","Çankaya",925828,"Lisans",0.7
"2007",2007,365000,4,120,18,"Kombi","Uygun","1. Kat","1","Keçiören",938565,"Lise",1.43
"230",230,1025000,4,115,0,"Kombi","Uygun","1. Kat","1","Çankaya",925828,"Lisans",0.7
"3276",3276,375000,4,130,0,"Kombi","Uygun","2. Kat","1","Sincan",549108,"Lise",1.44
"2759",2759,455000,4,120,22,"Merkezi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
"1539",1539,345000,4,115,20,"Kombi","Uygun","2. Kat","1","Çankaya",925828,"Lisans",0.7
